,title,entityNames
0,"Beluga whale, Russia, Norway","['Beluga whale', 'Russia', 'Norway']"
1,"Donald Trump, The Apprentice, MIPCOM, Ramin Setoodeh, Cannes","['Donald Trump', 'The Apprentice', 'MIPCOM', 'Ramin Setoodeh', 'Cannes']"
2,"Emmanuel Macron, Michel Barnier, France, Prime Minister of France, Brexit","['Emmanuel Macron', 'Michel Barnier', 'France', 'Prime Minister of France', 'Brexit']"
3,"Rexall, Well.ca, McKesson, Birch Hill Equity Partners Management Inc, Private equity firm","['Rexall', 'Well.ca', 'McKesson', 'Birch Hill Equity Partners Management Inc', 'Private equity firm']"
4,"Brussels, Natural environment, September 20, Belgium","['Brussels', 'Natural environment', 'September 20', 'Belgium']"
5,"Playoffs, Sioux Falls Canaries, Winnipeg Goldeyes, American Association of Professional Baseball","['Playoffs', 'Sioux Falls Canaries', 'Winnipeg Goldeyes', 'American Association of Professional Baseball']"
6,"UEFA Nations League, Scotland national football team, Poland national football team","['UEFA Nations League', 'Scotland national football team', 'Poland national football team']"
7,"Protest, Portage & Main, Downtown, CTV News","['Protest', 'Portage & Main', 'Downtown', 'CTV News']"
8,"School, Pandemic, Lockdown","['School', 'Pandemic', 'Lockdown']"
9,"Canfor, British Columbia, Fort St. John","['Canfor', 'British Columbia', 'Fort St. John']"
10,"SEB Group, Investor, United States Dollar","['SEB Group', 'Investor', 'United States Dollar']"
11,"Vuelta a España, Primož Roglič, Michael Woods, Ben O'Connor","['Vuelta a España', 'Primož Roglič', 'Michael Woods', ""Ben O'Connor""]"
12,"Toronto International Film Festival, Film festival, Toronto","['Toronto International Film Festival', 'Film festival', 'Toronto']"
13,"Japan, Military budget, China","['Japan', 'Military budget', 'China']"
14,"Ontario 401, Belleville, Shannonville","['Ontario 401', 'Belleville', 'Shannonville']"
15,"Karina Gould, Liberal Party of Canada, Leader of the Government in the House of Commons of Canada, Canada","['Karina Gould', 'Liberal Party of Canada', 'Leader of the Government in the House of Commons of Canada', 'Canada']"
16,"Anime, Maebashi","['Anime', 'Maebashi']"
17,"Liberal Party of Canada, Justin Trudeau, Atlantic Canada","['Liberal Party of Canada', 'Justin Trudeau', 'Atlantic Canada']"
18,"Free lunch, Cadillac Fairview, Downtown Vancouver","['Free lunch', 'Cadillac Fairview', 'Downtown Vancouver']"
19,"Workplace, Industry, Investment, Innovation","['Workplace', 'Industry', 'Investment', 'Innovation']"
20,"Electric vehicle, Building insulation, Automotive industry","['Electric vehicle', 'Building insulation', 'Automotive industry']"
21,"Tourism, Black Hills, Sioux Falls, Revenue, Southeast South Dakota Tourism","['Tourism', 'Black Hills', 'Sioux Falls', 'Revenue', 'Southeast South Dakota Tourism']"
22,"Canadian Imperial Bank of Commerce, U.S. Securities and Exchange Commission, Security, S&P 500","['Canadian Imperial Bank of Commerce', 'U.S. Securities and Exchange Commission', 'Security', 'S&P 500']"
23,"University of Windsor, Chancellor, Student","['University of Windsor', 'Chancellor', 'Student']"
24,"Asteroid, Philippines, Atmosphere of Earth, Catalina Sky Survey","['Asteroid', 'Philippines', 'Atmosphere of Earth', 'Catalina Sky Survey']"
25,"Joaquin Phoenix, Todd Phillips, Venice","['Joaquin Phoenix', 'Todd Phillips', 'Venice']"
26,"Matt Damon, Casey Affleck, Doug Liman","['Matt Damon', 'Casey Affleck', 'Doug Liman']"
27,"Chicago, Fusillade","['Chicago', 'Fusillade']"
28,"Gwyneth Paltrow, Edinburgh Festival Fringe, London","['Gwyneth Paltrow', 'Edinburgh Festival Fringe', 'London']"
29,"Special needs, School","['Special needs', 'School']"
30,"Tamboran Resources Corp, Falcon Oil & Gas Ltd., Beetaloo, Drilling","['Tamboran Resources Corp', 'Falcon Oil & Gas Ltd.', 'Beetaloo', 'Drilling']"
31,Palm oil,['Palm oil']
32,"Private equity, United Kingdom, Venture capital","['Private equity', 'United Kingdom', 'Venture capital']"
33,"Kim Go-eun, Korean drama","['Kim Go-eun', 'Korean drama']"
34,"Canada, Democracy","['Canada', 'Democracy']"
35,"Marion, Bruce's Fabulous Foods, North Carolina","['Marion', ""Bruce's Fabulous Foods"", 'North Carolina']"
36,"Russia, Zinc, United States sanctions, Reuters","['Russia', 'Zinc', 'United States sanctions', 'Reuters']"
37,"Hope Solo, U.S. Soccer, Goalkeeper, Netflix","['Hope Solo', 'U.S. Soccer', 'Goalkeeper', 'Netflix']"
38,"Eminem, Spotify, Mayer Brown","['Eminem', 'Spotify', 'Mayer Brown']"
39,"Canada, United States men's national soccer team, Jesse Marsch, Copa América, U.S. Soccer","['Canada', ""United States men's national soccer team"", 'Jesse Marsch', 'Copa América', 'U.S. Soccer']"
40,"Market research, Inventec, Wistron, White box","['Market research', 'Inventec', 'Wistron', 'White box']"
41,"Petroleum, Gulf of Mexico, Endangered Species Act of 1973, Government","['Petroleum', 'Gulf of Mexico', 'Endangered Species Act of 1973', 'Government']"
42,"Exoplanet, Albedo, Planetary habitability, Earth, Habitable zone","['Exoplanet', 'Albedo', 'Planetary habitability', 'Earth', 'Habitable zone']"
43,"Chicago Blackhawks, National Hockey League, Defenseman, Rockford IceHogs","['Chicago Blackhawks', 'National Hockey League', 'Defenseman', 'Rockford IceHogs']"
44,"Keir Starmer, Labour Party, United Kingdom","['Keir Starmer', 'Labour Party', 'United Kingdom']"
45,"Programmable logic controller, Automation, Industry","['Programmable logic controller', 'Automation', 'Industry']"
46,"Cannabis cultivation, Hemp","['Cannabis cultivation', 'Hemp']"
47,"Climate change, Africa, World Meteorological Organization, United Nations","['Climate change', 'Africa', 'World Meteorological Organization', 'United Nations']"
48,"Animal feed, Algenol, Industry, Market research","['Animal feed', 'Algenol', 'Industry', 'Market research']"
49,"Flexible spending account, Health savings account, Seed money, Fintech, Startup company","['Flexible spending account', 'Health savings account', 'Seed money', 'Fintech', 'Startup company']"
50,"Diamond League, Athletics, Track and field, Weltklasse Zürich","['Diamond League', 'Athletics', 'Track and field', 'Weltklasse Zürich']"
51,"U.S. Steel, Nippon Steel, Joe Biden, Kamala Harris","['U.S. Steel', 'Nippon Steel', 'Joe Biden', 'Kamala Harris']"
52,"Artificial intelligence, European Union, Regulation, European Commission","['Artificial intelligence', 'European Union', 'Regulation', 'European Commission']"
53,"Gold, Cobalt","['Gold', 'Cobalt']"
54,"Injection, Insulin, Innovation, Market research, Novo Nordisk","['Injection', 'Insulin', 'Innovation', 'Market research', 'Novo Nordisk']"
55,"Composite material, Market research, Automotive industry, Forecasting, Compound annual growth rate","['Composite material', 'Market research', 'Automotive industry', 'Forecasting', 'Compound annual growth rate']"
56,"Brazil national football team, Unmanned aerial vehicle, Brazil, Dorival Júnior","['Brazil national football team', 'Unmanned aerial vehicle', 'Brazil', 'Dorival Júnior']"
57,"Public key infrastructure, Abiy Ahmed, Public-key cryptography, Ethiopia, Prime minister, Security","['Public key infrastructure', 'Abiy Ahmed', 'Public-key cryptography', 'Ethiopia', 'Prime minister', 'Security']"
58,"Vladimir Bure, Valeri Bure, Candace Cameron Bure, New Jersey Devils, National Hockey League, Ice hockey, Pavel Bure","['Vladimir Bure', 'Valeri Bure', 'Candace Cameron Bure', 'New Jersey Devils', 'National Hockey League', 'Ice hockey', 'Pavel Bure']"
59,"Portugal national football team, Croatia national football team, UEFA Nations League, Croatia","['Portugal national football team', 'Croatia national football team', 'UEFA Nations League', 'Croatia']"
60,"Online advertising, Marketing","['Online advertising', 'Marketing']"
61,"Data center, Software-defined data center, Software-defined networking, Information technology, Cloud computing","['Data center', 'Software-defined data center', 'Software-defined networking', 'Information technology', 'Cloud computing']"
62,"Conservative Party of Canada, Pierre Poilievre, New Democratic Party","['Conservative Party of Canada', 'Pierre Poilievre', 'New Democratic Party']"
63,"Roku, Inc., Samsung","['Roku, Inc.', 'Samsung']"
64,"Thursday Night Football, NFL, Kansas City Chiefs, Baltimore Ravens, American football, Amazon Prime Video","['Thursday Night Football', 'NFL', 'Kansas City Chiefs', 'Baltimore Ravens', 'American football', 'Amazon Prime Video']"
65,"Cruise ship, Crystal Symphony, Crystal Serenity, Crystal Cruises, 2026","['Cruise ship', 'Crystal Symphony', 'Crystal Serenity', 'Crystal Cruises', '2026']"
66,"Lee Carsley, England national under-21 football team","['Lee Carsley', 'England national under-21 football team']"
67,"Yext, New York Stock Exchange, NYSE:YEXT","['Yext', 'New York Stock Exchange', 'NYSE:YEXT']"
68,"Swimming, CollegeSwimming, National Collegiate Athletics Association","['Swimming', 'CollegeSwimming', 'National Collegiate Athletics Association']"
